listing_id,district,room_count,area,building_age,floor,total_floors,price,distance_to_university_km,distance_to_center_km,distance_to_hospital_km,green_space_score,safety_score,public_transport_score,noise_level
29,Görükle,1+1,63.8,0,4,7,11300.0,3.9,16.5,6.1,6.1,7.1,5.4,6.8
30,Görükle,3+1,119.0,9,2,4,14900.0,0.0,12.7,5.6,5.8,7.7,6.8,5.6
31,Görükle,3+1,117.0,12,5,7,17890.0,1.9,13.6,6.9,5.1,6.5,7.8,6.7
32,Görükle,4+1,160.8,1,4,4,26880.0,0.7,13.1,6.3,5.3,6.9,6.8,6.8
33,Görükle,2+1,77.0,7,1,7,13540.0,0.0,13.6,4.4,4.8,7.3,6.6,5.9
34,Görükle,2+1,73.0,7,7,7,14890.0,1.7,13.3,6.4,4.8,6.3,6.1,6.4
35,Görükle,2+1,75.2,1,1,7,11610.0,2.3,16.0,5.2,5.3,7.3,5.9,7.8
36,Görükle,1+1,52.9,2,8,10,9080.0,3.3,13.6,5.2,5.6,6.8,4.9,7.1
37,Görükle,1+1,54.8,14,4,9,7260.0,0.0,13.0,6.2,5.9,6.3,5.9,6.7
38,Görükle,2+1,79.2,5,3,10,13380.0,1.8,14.4,7.6,5.9,6.3,5.5,5.6
39,Görükle,1+1,51.8,1,1,3,9070.0,1.1,13.1,6.7,6.6,6.4,5.5,7.0
40,Görükle,3+1,109.2,3,0,8,18580.0,0.0,14.2,4.8,7.1,7.2,5.8,6.8
41,Görükle,2+1,88.0,35,7,8,9130.0,2.1,16.4,5.1,5.3,6.6,7.1,5.4
42,Görükle,3+1,108.6,11,8,11,15600.0,0.0,12.5,5.7,5.6,7.0,6.2,4.9
43,Görükle,3+1,112.3,5,0,8,16780.0,0.0,14.6,6.6,6.4,5.5,6.4,5.6
44,Görükle,2+1,86.9,4,6,8,12810.0,0.0,14.9,6.2,5.5,7.4,5.7,6.5
45,Görükle,3+1,115.4,7,0,7,17080.0,0.4,15.6,5.2,4.1,7.5,7.8,6.1
46,Görükle,3+1,117.7,2,1,4,19160.0,0.0,14.7,6.4,4.8,6.9,7.4,6.7
47,Görükle,2+1,80.2,1,2,4,10690.0,1.2,13.5,7.5,5.9,7.5,5.2,7.0
48,Görükle,2+1,70.4,2,7,11,13440.0,0.5,12.0,6.0,5.3,6.3,5.9,5.0
49,Görükle,3+1,109.8,23,3,5,9950.0,2.2,14.3,5.4,4.9,7.0,6.2,8.6
50,Görükle,1+1,56.2,1,7,8,10390.0,1.9,15.5,5.6,5.7,6.2,6.6,7.8
51,Görükle,1+1,58.1,28,5,10,6900.0,2.4,11.3,5.3,5.4,5.1,5.3,5.7
52,Görükle,1+1,55.3,8,0,3,7580.0,0.9,15.3,5.2,5.3,6.8,5.8,7.1
53,Görükle,3+1,100.0,0,6,6,16980.0,0.7,12.5,4.7,6.5,6.3,5.3,6.4
54,Görükle,3+1,109.7,5,5,11,15750.0,3.2,14.3,6.6,5.1,5.8,6.3,6.6
55,Görükle,3+1,101.4,5,3,3,16690.0,2.2,15.0,4.7,4.2,7.1,6.8,5.6
56,Görükle,3+1,125.5,0,5,5,25930.0,1.8,13.6,5.3,6.0,6.3,5.3,8.3
57,Görükle,2+1,94.6,5,8,9,16850.0,2.0,14.5,7.0,6.5,6.9,6.4,6.8
58,Görükle,2+1,78.7,0,1,9,11320.0,3.5,16.1,7.1,6.2,7.3,6.0,6.7
59,Görükle,1+1,58.9,1,5,10,8360.0,0.9,13.9,7.4,6.7,6.5,6.2,6.5
60,Görükle,1+1,55.7,3,1,4,8370.0,0.0,14.6,6.3,4.6,6.4,6.7,7.5
61,Görükle,3+1,126.2,0,5,8,18670.0,1.5,14.5,7.0,6.9,6.4,5.1,6.2
62,Görükle,2+1,82.9,0,3,3,14510.0,0.2,13.2,6.2,5.7,6.6,6.2,5.5
63,Görükle,2+1,74.5,0,10,11,13140.0,0.0,11.5,4.5,6.0,6.5,5.9,7.6
64,Görükle,3+1,121.9,11,6,11,15950.0,0.4,13.1,5.3,5.7,7.4,7.3,6.2
65,Görükle,2+1,94.5,1,7,10,15720.0,1.2,14.4,8.5,6.7,6.1,6.7,6.2
66,Görükle,2+1,81.7,1,2,6,14210.0,1.0,14.4,6.3,4.5,6.9,5.3,5.2
67,Görükle,2+1,88.8,13,1,6,14450.0,0.0,13.5,5.5,6.0,6.7,5.3,7.2
68,Görükle,2+1,86.3,3,1,10,14210.0,0.7,13.9,6.0,6.2,7.1,5.2,5.4
69,Görükle,1+1,46.4,1,3,11,7410.0,0.0,12.0,5.3,5.6,6.3,6.0,6.2
70,Görükle,2+1,91.3,3,5,7,15920.0,0.0,14.5,6.1,5.9,7.5,5.6,8.4
71,Görükle,1+1,62.9,1,1,6,9220.0,0.0,14.5,6.4,5.5,7.1,6.8,7.8
72,Görükle,2+1,83.3,5,1,5,12940.0,0.0,14.1,5.5,5.9,7.6,5.9,6.9
73,Görükle,3+1,113.0,3,0,6,19640.0,2.7,16.0,6.2,6.5,5.8,5.9,7.3
74,Görükle,1+1,47.4,20,1,3,6820.0,2.8,14.3,5.7,6.3,4.7,6.3,3.2
75,Görükle,1+1,54.4,4,10,10,7640.0,0.0,15.6,5.6,7.8,6.5,6.3,8.0
76,Görükle,2+1,93.1,8,3,5,14500.0,0.0,13.7,5.4,6.7,6.5,5.8,6.4
77,Görükle,2+1,79.8,23,2,8,9140.0,2.7,13.5,4.9,6.4,6.8,4.9,6.7
78,Görükle,3+1,120.3,18,0,8,13950.0,1.5,13.6,5.6,6.7,7.4,7.3,7.7
79,Görükle,2+1,80.1,12,3,4,12150.0,1.2,15.0,6.0,5.4,6.3,6.4,6.5
80,Görükle,3+1,102.8,6,3,4,17910.0,1.6,12.5,7.2,5.6,5.5,5.3,5.6
81,Görükle,3+1,103.9,5,1,9,18020.0,1.5,14.4,6.3,6.5,5.2,5.7,4.5
82,Görükle,2+1,76.4,11,1,3,13200.0,1.3,13.4,6.4,5.6,6.5,6.7,6.0
83,Görükle,3+1,128.1,6,1,5,22860.0,2.0,14.1,5.4,5.3,6.2,6.4,5.6
84,Görükle,1+1,64.6,13,9,11,9670.0,4.7,12.3,7.2,6.1,6.7,6.1,6.9
85,Görükle,1+1,53.2,2,7,8,10070.0,0.0,13.9,5.1,6.4,7.4,5.9,6.3
86,Görükle,1+1,47.3,4,7,7,6880.0,1.3,15.6,8.2,5.5,7.4,6.2,6.4
87,Görükle,3+1,123.7,5,7,7,19000.0,0.0,12.1,6.5,5.8,6.1,6.0,7.2
88,Görükle,2+1,86.3,15,0,3,13210.0,2.5,15.5,6.9,6.5,6.9,6.4,5.5
89,Görükle,1+1,60.7,10,9,11,10750.0,2.3,15.8,5.8,5.1,6.4,6.1,6.6
90,Görükle,2+1,72.4,0,3,5,10850.0,1.7,14.0,5.4,5.8,6.4,5.8,8.1
91,Görükle,1+1,48.4,2,3,3,7190.0,0.6,13.2,7.1,5.9,7.3,6.0,6.5
92,Görükle,3+1,115.1,11,4,9,12570.0,0.0,13.3,6.0,6.6,6.8,5.7,7.4
93,Görükle,2+1,90.6,9,9,9,14470.0,0.2,14.8,6.1,6.0,7.4,4.3,5.2
94,Görükle,2+1,75.5,22,3,11,8200.0,0.0,13.0,8.0,7.4,6.3,5.7,5.5
95,Görükle,2+1,82.2,1,2,5,13690.0,0.0,13.1,6.1,6.3,6.8,5.1,7.3
96,Görükle,2+1,86.9,0,0,6,12340.0,0.5,14.4,6.5,5.9,7.4,6.7,6.3
97,Görükle,2+1,71.5,0,4,7,10360.0,0.0,15.8,5.2,4.9,6.2,6.3,6.4
98,Görükle,1+1,62.2,10,2,6,8510.0,4.4,14.4,6.7,5.6,6.4,5.5,4.1
99,Görükle,1+1,47.1,4,4,7,6590.0,3.0,13.9,7.0,6.3,7.0,5.4,7.0
100,Görükle,4+1,146.3,16,2,3,22320.0,0.2,12.7,5.1,6.1,6.7,5.4,6.5
101,Görükle,4+1,146.2,2,1,11,28100.0,0.0,16.0,5.6,6.8,6.5,5.7,4.9
102,Görükle,3+1,111.7,2,2,5,22010.0,0.0,14.4,5.4,5.5,7.0,6.0,8.1
103,Görükle,2+1,74.2,10,4,11,12430.0,0.3,13.9,5.9,5.3,6.9,6.5,7.0
104,Görükle,4+1,136.8,15,4,10,20660.0,0.1,14.0,5.5,7.3,6.7,5.8,7.6
105,Görükle,3+1,125.6,3,2,4,20860.0,1.4,12.4,6.0,7.6,7.0,6.1,6.1
106,Görükle,3+1,123.2,6,2,4,21690.0,0.0,13.2,5.1,5.2,6.5,4.5,7.1
107,Görükle,2+1,82.0,9,8,8,11170.0,2.8,10.7,5.7,5.1,7.0,5.5,6.9
108,Görükle,2+1,77.6,3,0,3,13370.0,0.0,15.4,5.4,5.6,6.5,4.9,6.7
109,Görükle,1+1,54.2,1,2,11,8990.0,2.1,11.7,5.1,6.7,6.7,6.3,8.2
110,Görükle,4+1,137.8,6,10,11,21460.0,0.0,14.5,6.4,5.6,5.9,7.6,6.8
111,Görükle,2+1,87.6,2,7,7,14160.0,1.8,12.4,6.3,7.5,6.8,5.7,6.0
112,Görükle,1+1,56.3,7,4,10,9890.0,0.0,15.0,5.7,6.3,5.8,6.9,7.6
113,Görükle,2+1,87.7,17,4,4,12980.0,0.0,14.0,6.3,6.4,6.6,6.2,7.8
114,Görükle,2+1,87.6,29,3,7,10370.0,0.0,14.1,7.0,5.1,6.7,5.4,5.9
115,Görükle,1+1,57.2,0,0,5,7550.0,3.8,14.7,5.9,6.5,5.7,6.8,6.2
116,Görükle,3+1,104.6,1,0,4,19070.0,1.4,14.8,6.0,6.4,6.2,7.6,5.1
117,Görükle,3+1,128.5,5,0,4,26300.0,2.5,15.2,6.0,5.8,6.4,6.3,7.8
118,Görükle,3+1,119.6,31,2,4,15810.0,2.0,14.9,5.8,5.3,6.0,4.9,6.7
119,Görükle,2+1,82.7,4,5,5,11480.0,2.7,13.2,6.3,4.9,7.4,5.9,6.8
120,Görükle,2+1,94.5,4,7,7,14330.0,0.5,14.6,5.9,5.7,7.4,5.9,8.6
121,Görükle,2+1,85.8,9,4,6,14800.0,0.0,13.0,6.4,6.8,6.5,5.1,5.3
122,Görükle,2+1,75.4,14,0,6,12510.0,1.0,11.3,5.8,5.9,7.8,5.0,6.1
123,Görükle,1+1,49.0,0,3,5,8440.0,1.5,14.9,5.4,6.7,5.7,6.2,6.7
124,Görükle,2+1,77.7,2,5,9,11280.0,0.5,12.7,6.3,5.1,6.9,5.2,6.0
125,Görükle,1+1,49.8,8,0,4,7590.0,1.7,11.5,6.0,7.6,6.6,6.0,7.0
126,Görükle,2+1,77.6,2,2,11,13250.0,0.0,15.6,5.7,4.5,5.7,4.1,6.3
127,Görükle,2+1,92.7,8,3,6,16590.0,0.7,11.4,6.5,6.4,6.7,6.7,5.5
128,Görükle,1+1,47.2,7,3,4,5950.0,0.0,15.8,5.8,6.7,6.6,5.9,7.7
129,Görükle,1+1,63.8,2,6,11,11330.0,1.6,12.1,5.4,5.5,6.3,5.0,5.9
130,Görükle,2+1,74.8,2,4,5,12240.0,0.4,14.2,5.3,5.1,5.9,5.6,5.5
131,Görükle,1+1,50.3,3,5,11,8320.0,0.7,14.4,6.0,4.8,5.7,6.0,7.4
132,Görükle,4+1,169.8,0,1,4,28330.0,1.8,13.2,5.9,4.7,5.1,6.7,5.6
133,Görükle,2+1,80.3,5,8,9,12690.0,0.0,14.5,6.4,6.3,6.6,7.1,5.5
134,Görükle,2+1,88.9,2,3,6,12280.0,0.5,15.6,6.4,6.2,6.4,5.7,6.8
135,Görükle,2+1,76.9,2,0,5,11760.0,1.8,17.5,4.6,6.3,6.0,6.4,6.5
136,Görükle,1+1,60.7,3,6,6,11360.0,0.0,15.9,6.3,6.9,5.8,5.4,6.6
137,Görükle,4+1,139.5,6,4,4,17570.0,2.5,14.0,5.8,4.8,6.8,4.3,7.1
138,Görükle,2+1,76.0,4,5,9,14140.0,0.7,13.2,5.6,7.0,6.8,5.7,6.3
139,Görükle,3+1,105.7,6,7,7,18410.0,1.2,16.9,5.1,5.9,7.6,6.8,5.9
140,Görükle,1+1,53.2,60,1,3,5810.0,0.9,12.1,6.1,6.4,6.4,4.9,7.4
141,Görükle,2+1,86.5,9,0,11,10970.0,0.0,13.4,7.0,5.5,6.9,5.6,6.7
142,Görükle,2+1,79.9,23,0,10,8490.0,0.0,13.4,5.0,6.3,6.2,7.7,4.9
143,Görükle,4+1,136.0,35,4,6,16450.0,0.0,14.3,7.5,5.6,6.7,6.7,6.4
144,Görükle,2+1,90.3,7,6,11,14080.0,0.0,14.2,5.5,5.6,6.9,5.1,7.4
145,Görükle,2+1,73.0,0,3,3,14090.0,1.1,12.9,5.6,6.1,6.5,5.9,6.5
146,Görükle,2+1,83.1,30,3,6,10970.0,0.0,13.8,5.3,6.1,6.3,7.0,7.0
147,Görükle,2+1,78.3,5,7,8,11760.0,1.5,13.4,6.7,5.4,6.1,5.5,6.0
148,Görükle,2+1,77.2,4,3,5,16040.0,0.0,14.1,5.1,5.4,6.1,5.3,5.6
149,Görükle,2+1,80.2,3,2,11,11770.0,5.2,13.5,6.1,5.0,7.5,6.8,6.8
150,Görükle,1+1,54.8,7,5,8,10190.0,2.2,14.1,4.1,5.2,6.9,6.8,7.5
151,Özlüce,2+1,91.3,1,5,8,14550.0,6.1,7.5,2.3,6.2,5.9,6.0,4.2
152,Özlüce,1+1,46.4,4,7,9,8720.0,3.3,8.2,4.2,5.7,7.5,5.7,4.7
153,Özlüce,1+1,47.3,14,4,9,7480.0,5.6,8.1,4.4,6.7,6.9,6.2,5.7
154,Özlüce,1+1,55.4,1,0,6,12550.0,4.0,9.9,2.5,6.7,7.9,6.8,5.2
155,Özlüce,1+1,61.2,0,5,10,10530.0,5.6,9.2,3.4,5.9,6.2,6.8,5.5
156,Özlüce,2+1,70.6,13,4,5,12210.0,6.5,8.9,3.6,8.3,6.7,6.0,5.4
157,Özlüce,3+1,104.4,4,3,3,18830.0,4.3,10.4,4.5,5.5,8.1,7.0,5.0
158,Özlüce,3+1,128.4,0,5,10,22460.0,6.9,9.6,4.0,5.9,7.1,6.5,3.8
159,Özlüce,1+1,54.0,1,5,6,10400.0,5.3,10.6,3.6,7.0,6.8,6.6,5.7
160,Özlüce,2+1,87.0,4,5,7,16430.0,7.4,9.8,5.5,5.9,6.2,5.8,5.6
161,Özlüce,1+1,49.3,1,4,8,10560.0,10.3,9.4,4.5,6.1,5.9,6.1,4.0
162,Özlüce,4+1,169.7,3,1,7,32710.0,5.5,8.8,4.8,6.5,7.3,6.4,4.7
163,Özlüce,1+1,47.2,3,1,6,8750.0,4.1,9.0,4.0,4.8,6.5,6.8,5.3
164,Özlüce,2+1,75.1,12,8,8,13720.0,5.9,8.4,3.5,6.9,7.1,6.9,5.1
165,Özlüce,2+1,80.9,5,8,9,16120.0,4.8,6.8,5.2,6.7,6.0,6.0,5.7
166,Özlüce,2+1,89.3,9,6,10,13490.0,4.8,9.3,4.3,6.9,7.5,6.6,5.4
167,Özlüce,2+1,80.6,22,1,4,12260.0,7.2,9.7,4.0,5.9,7.0,6.5,5.2
168,Özlüce,3+1,110.6,9,3,7,21570.0,6.1,11.8,3.7,6.8,6.5,6.3,5.2
169,Özlüce,1+1,48.4,17,3,5,7550.0,5.5,12.2,4.3,5.9,6.6,5.8,5.8
170,Özlüce,4+1,137.4,1,1,5,28110.0,4.7,7.7,4.2,7.0,7.2,5.9,5.6
171,Özlüce,2+1,81.1,1,1,9,17630.0,7.0,9.7,5.0,8.8,6.0,6.0,4.4
172,Özlüce,3+1,110.7,17,4,9,14900.0,6.5,9.1,4.4,6.9,7.4,6.2,6.9
173,Özlüce,3+1,119.7,0,10,10,17990.0,6.0,8.9,3.6,8.1,7.3,7.0,4.2
174,Özlüce,4+1,147.9,3,3,8,21190.0,5.7,9.0,3.8,5.8,6.7,6.4,5.1
175,Özlüce,1+1,56.8,23,3,5,7850.0,6.7,9.7,3.7,7.1,7.6,7.4,6.6
176,Özlüce,2+1,84.1,1,7,9,15620.0,5.0,7.2,4.1,5.9,7.1,5.9,4.0
177,Özlüce,2+1,70.9,38,2,9,11900.0,6.4,9.6,3.1,5.5,7.9,5.9,4.1
178,Özlüce,2+1,92.2,13,0,3,14680.0,7.8,8.0,2.9,7.3,7.3,6.1,3.6
179,Özlüce,2+1,71.1,0,8,11,11830.0,5.9,9.8,2.1,7.3,6.3,6.7,5.2
180,Özlüce,4+1,155.9,25,8,8,20130.0,6.2,8.8,4.4,7.1,7.4,6.4,3.3
181,Özlüce,4+1,167.2,0,0,11,34170.0,7.4,9.2,1.5,5.5,8.1,6.1,3.2
182,Özlüce,2+1,84.5,3,4,5,16090.0,6.7,9.4,4.6,8.3,7.6,5.4,5.4
183,Özlüce,2+1,71.7,10,3,11,13980.0,7.4,12.1,3.4,6.1,6.8,6.2,4.2
184,Özlüce,3+1,107.0,9,4,9,17410.0,8.9,9.0,5.0,6.7,7.5,6.7,6.2
185,Özlüce,4+1,166.0,10,8,11,27410.0,6.6,11.7,3.8,6.8,7.8,7.3,5.0
186,Özlüce,1+1,52.3,4,9,10,11220.0,6.3,10.2,3.3,5.3,7.2,6.5,4.6
187,Özlüce,2+1,89.1,28,0,5,13720.0,7.3,10.8,3.8,4.9,6.9,7.1,4.1
188,Özlüce,3+1,107.7,2,0,7,21860.0,7.0,9.7,4.0,6.7,6.3,5.0,5.1
189,Özlüce,2+1,77.4,5,7,7,16610.0,4.5,8.6,4.4,8.5,7.9,7.3,4.7
190,Özlüce,2+1,71.7,8,1,9,12170.0,5.8,10.9,3.7,4.5,7.3,6.0,5.0
191,Özlüce,4+1,161.5,23,8,11,19280.0,5.2,9.8,3.5,5.2,7.4,7.3,5.0
192,Özlüce,4+1,169.9,0,0,3,33480.0,4.7,7.6,3.6,6.4,6.6,6.9,4.6
193,Özlüce,4+1,160.2,2,4,5,26730.0,3.5,9.3,3.7,4.6,6.7,5.9,6.4
194,Özlüce,3+1,106.7,27,9,11,17200.0,4.9,8.2,4.5,4.6,5.9,6.3,6.4
195,Özlüce,2+1,71.3,1,1,6,16790.0,5.1,9.0,5.5,5.3,7.6,5.8,5.1
196,Özlüce,2+1,89.3,5,0,8,12880.0,4.5,9.3,4.8,6.4,7.0,6.9,4.1
197,Özlüce,2+1,75.3,12,4,9,12020.0,5.3,9.9,4.7,6.1,6.8,6.9,4.3
198,Özlüce,2+1,83.3,8,5,10,13510.0,3.2,6.7,3.0,5.4,6.9,5.7,4.4
199,Özlüce,2+1,75.4,5,3,6,14690.0,6.0,8.4,3.7,6.8,7.4,5.9,5.0
200,Özlüce,2+1,85.5,9,5,7,14290.0,8.7,7.9,4.2,6.5,6.9,6.4,5.1
201,Özlüce,2+1,80.9,8,2,10,14540.0,6.0,10.0,3.4,7.1,6.5,7.3,7.0
202,Özlüce,3+1,119.3,7,1,5,24200.0,6.8,9.3,4.8,6.9,7.7,7.1,6.4
203,Özlüce,2+1,82.9,4,2,5,14030.0,8.6,9.3,4.6,6.6,6.6,6.5,6.3
204,Özlüce,2+1,83.6,7,4,5,17940.0,5.7,6.8,5.5,7.0,7.0,6.2,6.0
205,Özlüce,1+1,48.3,4,1,3,9070.0,6.2,8.8,4.8,5.8,6.0,6.9,5.6
206,Özlüce,1+1,64.0,1,7,10,13180.0,5.9,8.4,3.8,8.1,6.0,6.8,3.5
207,Özlüce,3+1,126.6,24,3,7,19130.0,5.4,6.5,4.7,7.6,7.9,6.8,5.0
208,Özlüce,2+1,94.0,2,8,8,15520.0,6.3,9.5,2.6,6.9,8.4,6.9,6.3
209,Özlüce,1+1,62.8,12,5,9,9470.0,4.6,10.5,5.1,5.7,7.6,6.4,5.3
210,Özlüce,3+1,125.9,2,9,10,27410.0,6.5,9.7,3.3,8.2,7.3,7.0,3.6
211,Özlüce,2+1,81.3,9,1,4,10830.0,7.6,8.3,5.1,6.4,7.1,7.3,4.2
212,Özlüce,1+1,61.1,10,0,8,8780.0,3.5,10.0,3.5,6.2,5.9,6.0,5.0
213,Özlüce,2+1,81.8,9,7,9,12980.0,5.0,10.8,4.2,6.1,6.9,7.4,6.3
214,Özlüce,1+1,58.4,2,4,7,9590.0,5.9,9.0,4.9,7.5,6.8,6.4,5.6
215,Özlüce,3+1,120.7,2,1,3,19850.0,4.6,10.7,3.9,7.8,6.7,6.7,7.2
216,Özlüce,2+1,76.2,3,1,10,16210.0,4.8,9.0,3.5,6.7,6.4,6.4,5.4
217,Özlüce,1+1,52.1,5,1,6,7790.0,5.4,9.1,3.7,6.3,7.0,6.0,5.6
218,Özlüce,1+1,51.7,14,4,8,8200.0,6.5,10.9,4.4,5.1,7.3,7.4,4.8
219,Özlüce,2+1,79.0,10,1,4,13740.0,3.4,8.7,5.0,5.0,6.2,5.8,4.9
220,Özlüce,1+1,61.0,21,5,7,9690.0,6.2,9.5,3.3,7.2,6.3,7.1,6.1
221,Özlüce,3+1,113.4,11,3,3,12590.0,6.5,8.9,4.0,7.1,7.0,5.7,4.9
222,Özlüce,1+1,55.3,0,1,7,11810.0,4.4,9.2,5.0,5.1,7.1,6.1,4.7
223,Özlüce,2+1,93.4,2,6,7,14750.0,4.2,7.4,5.4,6.1,7.0,6.2,4.2
224,Özlüce,2+1,89.3,1,4,7,15110.0,3.3,10.2,4.9,7.3,6.7,6.4,5.7
225,Özlüce,2+1,71.0,1,4,7,13540.0,7.6,7.6,4.5,6.8,7.5,7.1,4.4
226,Özlüce,1+1,64.6,3,1,3,11130.0,5.0,6.8,5.4,7.2,7.5,7.2,5.5
227,Özlüce,3+1,119.3,11,2,7,26550.0,6.8,8.4,4.4,5.7,7.9,6.0,5.5
228,Özlüce,3+1,107.0,0,3,3,20350.0,5.9,8.3,3.6,7.7,6.9,5.9,4.5
229,Özlüce,1+1,53.6,16,1,3,9140.0,5.6,9.7,3.5,6.3,7.6,7.1,4.1
230,Özlüce,1+1,63.6,0,6,9,9310.0,6.4,7.3,3.5,6.2,6.7,6.1,5.0
231,Özlüce,4+1,140.7,0,3,5,29140.0,7.3,7.2,4.2,7.0,6.4,6.5,4.9
232,Özlüce,2+1,94.5,5,5,8,22170.0,4.6,10.2,4.8,5.7,7.3,6.4,5.5
233,Özlüce,1+1,48.0,3,5,5,9460.0,7.1,8.2,3.2,6.0,6.6,7.1,5.9
234,Özlüce,1+1,48.1,0,5,5,9410.0,4.8,10.9,4.0,6.6,6.8,5.9,3.7
235,Özlüce,3+1,120.5,10,2,7,17920.0,4.1,9.6,5.2,6.6,7.3,5.2,4.4
236,Özlüce,3+1,102.6,1,0,8,14100.0,4.0,8.4,3.3,6.8,7.2,7.1,5.7
237,Özlüce,2+1,93.9,26,1,11,14020.0,6.2,8.5,3.7,5.8,7.3,6.4,4.4
238,Özlüce,4+1,168.9,1,5,9,32080.0,4.7,10.0,3.6,5.4,7.6,6.1,4.6
239,Özlüce,2+1,73.2,15,6,11,10120.0,6.8,8.4,5.5,6.5,5.7,6.8,6.8
240,Özlüce,2+1,85.2,1,2,9,17770.0,4.9,9.3,3.0,6.0,6.6,7.1,5.7
241,Özlüce,2+1,84.1,5,7,10,13820.0,7.3,10.4,4.8,5.9,5.4,5.3,6.3
242,Özlüce,2+1,89.4,18,0,7,16040.0,6.0,8.6,3.9,6.7,8.0,6.8,5.7
243,Özlüce,1+1,64.0,0,2,8,11720.0,2.2,6.4,3.2,6.9,7.1,6.6,6.8
244,Özlüce,1+1,57.0,12,6,7,8700.0,6.0,7.1,5.1,6.0,8.2,6.5,5.9
245,Özlüce,2+1,85.9,11,5,5,14730.0,6.5,8.1,3.9,6.0,8.4,6.4,6.4
246,Özlüce,3+1,119.5,10,5,8,19330.0,6.3,10.9,4.2,7.6,7.4,7.6,4.9
247,Özlüce,1+1,52.5,7,4,11,7930.0,9.5,10.0,3.7,7.5,7.4,7.9,3.6
248,Özlüce,2+1,92.7,5,2,3,18860.0,5.6,9.9,5.9,6.2,6.7,6.6,5.9
249,Özlüce,2+1,75.1,2,5,9,14630.0,2.9,7.5,5.2,6.8,6.5,6.4,5.0
250,Özlüce,2+1,93.8,2,3,3,18040.0,5.9,9.7,3.0,6.8,7.7,6.8,5.1
251,Özlüce,3+1,107.7,8,5,8,21660.0,5.8,7.9,3.6,6.7,6.8,6.8,5.5
252,Özlüce,3+1,109.9,1,0,3,18360.0,4.6,8.9,3.6,5.6,6.7,6.2,4.4
253,Özlüce,3+1,101.3,10,6,7,22460.0,6.3,8.7,4.0,6.7,7.3,8.0,4.2
254,Özlüce,1+1,61.5,5,2,3,12140.0,7.9,8.0,4.0,5.1,6.2,7.2,4.6
